family,encoded_as,e0_item_id,encoded_item_id,e0_tokens,encoded_tokens,relative_gap,e0_size_tier,encoded_size_tier,e0_semantic_class,encoded_semantic_class
T2,E2,item-c56a957fa05c75bca967,item-25158df91fbdf82c57dd,3126,3126,0.000000,6,2,shifted_residue_p5_s1,residue_square_p5_c11
T2,E2,item-acf4863e1b9a43c48417,item-3d030609bce130984eef,4558,4559,0.000219,7,3,residue_complement_p5_q3,residue_square_p5_c11
T2,E2,item-18611a23d50e411a5f64,item-39cb14c85925096d3a12,2210,2211,0.000452,5,1,shifted_residue_p5_s5,residue_quotient_p7_c2_r11_q17
T2,E2,item-dcb404b86087699f3e51,item-02415f065fdfeff3e0e7,4541,4545,0.000880,7,3,residue_quotient_p7_c2_r11_q17,residue_quotient_p7_c2_r11_q13
T2,E2,item-f3436c601ee918a99287,item-5b23d900fb8682ffc56a,3047,3051,0.001311,6,2,residue_quotient_p7_c2_r11_q17,shifted_residue_p5_s5
T2,E2,item-6c86e4450c18010542a3,item-dc35edf517d4f405d35b,2151,2154,0.001393,5,1,residue_complement_p5_q1,residue_complement_p5_q3
T2,E2,item-845d24e1a82aa30476f0,item-7886a83db969716cbba0,4504,4511,0.001552,7,3,shifted_residue_p5_s5,shifted_residue_p5_s5
T2,E2,item-178c8b30273fcac02fe5,item-78a65e32f07c8e50e4fb,3069,3059,0.003258,6,2,residue_quotient_p7_c2_r11_q17,residue_quotient_p7_c5_r11_q17
T2,E2,item-f270a40525bd58ea07a7,item-f8fecfffcf0f5d189840,4499,4484,0.003334,7,3,shifted_residue_p5_s1,residue_quotient_p7_c5_r11_q17
T2,E2,item-b6d46a5b382bba23cdb3,item-c4f8e79fd824ba14cf6a,3072,3058,0.004557,6,2,residue_complement_p5_q3,residue_complement_p5_q1
T2,E2,item-01435e135811eae6c441,item-3debb99f0ec0e92cd192,2116,2099,0.008034,5,1,residue_quotient_p7_c5_r11_q17,residue_complement_p5_q3
T2,E2,item-81e799465edacd63c637,item-86dfaa20065b31b597d7,4564,4604,0.008688,7,3,residue_square_p5_c11,shifted_residue_p5_s1
T2,E2,item-b8ed9bf17915149e2a4e,item-4f488128b4f5bda29d9e,3117,3146,0.009218,6,2,residue_complement_p5_q1,residue_quotient_p7_c5_r11_q17
T2,E2,item-e3637a7926ebbebc4266,item-d7931469a8cd1e56a469,1468,1451,0.011580,4,0,residue_complement_p5_q3,shifted_residue_p5_s1
T2,E2,item-a4a530e333d966420391,item-7ec50a5c2f2a0a7f3a79,2194,2224,0.013489,5,1,shifted_residue_p5_s1,residue_quotient_p7_c5_r11_q17
T2,E2,item-234d68265f072a7c8030,item-82147e40ca870183d5a8,2125,2095,0.014118,5,1,residue_quotient_p7_c2_r11_q17,shifted_residue_p5_s5
T2,E2,item-b4e99f673b56a63fc5b9,item-ba7b24dafc3fe655032e,4557,4626,0.014916,7,3,residue_quotient_p7_c5_r11_q17,residue_complement_p5_q1
T2,E2,item-561ba540b99cdaf6171e,item-c9e348313fcd9ef5cc55,3075,3028,0.015285,6,2,residue_complement_p5_q1,residue_complement_p5_q3
T2,E2,item-5cc409cf2f17fdb2b740,item-60c514d601ff40b3c8cf,4540,4626,0.018591,7,3,shifted_residue_p5_s1,residue_square_p5_c11
T2,E2,item-6944dae1088f944d7b20,item-b2992f09159f6607d2b9,3091,3016,0.024264,6,2,residue_quotient_p7_c2_r11_q13,residue_quotient_p7_c2_r11_q13
T2,E2,item-68589605ab3ff99d6fdf,item-b18ed2ca5fdb032dc6d2,4527,4645,0.025404,7,3,residue_square_p5_c11,shifted_residue_p5_s1
T2,E2,item-625bf3092eed8f316aab,item-7530161b856b77797f3e,3100,3001,0.031935,6,2,residue_square_p5_c11,residue_complement_p5_q3
T2,E2,item-5c9c8f466994cfc18857,item-bb759a4a9296cd40340a,4525,4678,0.032706,7,3,residue_complement_p5_q1,residue_complement_p5_q3
T2,E2,item-2874a056917d3c325d8e,item-8ebdd79a41ba59564af5,2150,2226,0.034142,5,1,shifted_residue_p5_s5,residue_square_p5_c11
T2,E2,item-7f0840fa9c575ee14d66,item-d72cc3f8d6c6cf55ff9e,3111,3221,0.034151,6,2,residue_quotient_p7_c5_r11_q17,residue_quotient_p7_c2_r11_q17
T2,E2,item-96b5bf511add75ab260d,item-ade1fbb03cf9df7a869d,3111,3225,0.035349,6,2,shifted_residue_p5_s5,residue_complement_p5_q1
T2,E2,item-17fff5e094e959585bcc,item-5ac60c2d8d9ea46017e8,1480,1418,0.041892,4,0,residue_quotient_p7_c5_r11_q17,residue_quotient_p7_c5_r11_q17
T2,E2,item-0171e7e1d5effe400495,item-1ae35045cdc571fe8c60,6761,7073,0.044111,8,4,residue_quotient_p7_c5_r11_q17,residue_complement_p5_q3
T2,E2,item-6bec313636020d6c0531,item-95768693f4b222085e09,6755,7099,0.048458,8,4,residue_square_p5_c11,residue_quotient_p7_c5_r11_q17
T2,E2,item-6ebb36eaa3ad81adcf6f,item-f022f5afd3049eb28c11,2141,2255,0.050554,5,1,residue_quotient_p7_c2_r11_q13,shifted_residue_p5_s1
T2,E2,item-9c2fcb709f4dfbec0015,item-d5a99ad4748f97f73bb6,2137,2262,0.055261,5,1,residue_square_p5_c11,residue_quotient_p7_c2_r11_q13
T2,E2,item-c49eedb5ec6dd7f8ce30,item-2ea6b73fa967112dbb30,2127,1997,0.061119,5,1,residue_complement_p5_q3,residue_quotient_p7_c2_r11_q17
T2,E2,item-cc8b5589d3c146dd98d3,item-75eec38c624f536d18e3,6750,7198,0.062240,8,4,residue_quotient_p7_c5_r11_q17,residue_square_p5_c11
T2,E2,item-8b48563870b9f72c69f2,item-d8340e0a31857ac64496,6727,7223,0.068670,8,4,shifted_residue_p5_s1,residue_quotient_p7_c2_r11_q17
T2,E2,item-dfa1c71e867a88e0dc2b,item-953bd0e50d3120faab71,6713,7225,0.070865,8,4,residue_complement_p5_q3,residue_quotient_p7_c2_r11_q13
T2,E2,item-d36a647f078695d89386,item-605b60a8b0158ecaed51,6689,7237,0.075722,8,4,residue_quotient_p7_c2_r11_q13,shifted_residue_p5_s1
T2,E2,item-8c3a522314cccda4cb35,item-b750f4c3a8d377545a96,2136,2319,0.078913,5,1,residue_quotient_p7_c2_r11_q13,shifted_residue_p5_s1
T2,E2,item-1d8867fca05a016c0039,item-da0c12e1adf762bfc1e3,6685,7307,0.085124,8,4,shifted_residue_p5_s5,shifted_residue_p5_s5
T2,E2,item-12048ba644aa528ec2eb,item-f50088b1f99925b71c4e,6680,7313,0.086558,8,4,residue_complement_p5_q3,residue_complement_p5_q1
T2,E3,item-0171e7e1d5effe400495,item-ade1fbb03cf9df7a869d,6761,6758,0.000444,8,2,residue_quotient_p7_c5_r11_q17,residue_complement_p5_q1
T2,E3,item-81e799465edacd63c637,item-39cb14c85925096d3a12,4564,4575,0.002404,7,1,residue_square_p5_c11,residue_quotient_p7_c2_r11_q17
T2,E3,item-6bec313636020d6c0531,item-d72cc3f8d6c6cf55ff9e,6755,6778,0.003393,8,2,residue_square_p5_c11,residue_quotient_p7_c2_r11_q17
T2,E3,item-94c90977ca1acfa40d89,item-bb759a4a9296cd40340a,9891,9828,0.006369,9,3,shifted_residue_p5_s1,residue_complement_p5_q3
T2,E3,item-f270a40525bd58ea07a7,item-dc35edf517d4f405d35b,4499,4470,0.006446,7,1,shifted_residue_p5_s1,residue_complement_p5_q3
T2,E3,item-acf4863e1b9a43c48417,item-7ec50a5c2f2a0a7f3a79,4558,4588,0.006539,7,1,residue_complement_p5_q3,residue_quotient_p7_c5_r11_q17
T2,E3,item-3cdccf6c454cb68ff54e,item-4f488128b4f5bda29d9e,6662,6600,0.009307,8,2,residue_quotient_p7_c2_r11_q17,residue_quotient_p7_c5_r11_q17
T2,E3,item-c02b97af4131692d2f8d,item-b18ed2ca5fdb032dc6d2,9898,9791,0.010810,9,3,residue_complement_p5_q1,shifted_residue_p5_s1
T2,E3,item-b4e99f673b56a63fc5b9,item-8ebdd79a41ba59564af5,4557,4620,0.013636,7,1,residue_quotient_p7_c5_r11_q17,residue_square_p5_c11
T2,E3,item-a06daf4400ad4b342ae9,item-ba7b24dafc3fe655032e,9903,9748,0.015652,9,3,residue_quotient_p7_c2_r11_q13,residue_complement_p5_q1
T2,E3,item-146896fa1e4f6ccaec3f,item-60c514d601ff40b3c8cf,9906,9741,0.016657,9,3,shifted_residue_p5_s5,residue_square_p5_c11
T2,E3,item-af3180805d91de10d771,item-25158df91fbdf82c57dd,6678,6543,0.020216,8,2,residue_complement_p5_q1,residue_square_p5_c11
T2,E3,item-270d45645172665a6261,item-86dfaa20065b31b597d7,9919,9704,0.021676,9,3,residue_complement_p5_q3,shifted_residue_p5_s1
T2,E3,item-6968446b653128b9bb65,item-df575f5e273d105748a1,9968,10190,0.021786,9,3,residue_square_p5_c11,residue_quotient_p7_c2_r11_q17
T2,E3,item-f3436c601ee918a99287,item-d7931469a8cd1e56a469,3047,2956,0.029865,6,0,residue_quotient_p7_c2_r11_q17,shifted_residue_p5_s1
T2,E3,item-dcb404b86087699f3e51,item-d5a99ad4748f97f73bb6,4541,4681,0.029908,7,1,residue_quotient_p7_c2_r11_q17,residue_quotient_p7_c2_r11_q13
T2,E3,item-5cc409cf2f17fdb2b740,item-f022f5afd3049eb28c11,4540,4689,0.031776,7,1,shifted_residue_p5_s1,shifted_residue_p5_s1
T2,E3,item-1d53e1fd68bd397ccd5f,item-3d030609bce130984eef,9934,9611,0.032515,9,3,shifted_residue_p5_s5,residue_square_p5_c11
T2,E3,item-2b4b380bdf06b4fef5fd,item-02415f065fdfeff3e0e7,9951,9599,0.035373,9,3,residue_quotient_p7_c2_r11_q17,residue_quotient_p7_c2_r11_q13
T2,E3,item-845d24e1a82aa30476f0,item-3debb99f0ec0e92cd192,4504,4332,0.038188,7,1,shifted_residue_p5_s5,residue_complement_p5_q3
T2,E3,item-c85b6800a61659663afe,item-7886a83db969716cbba0,9951,9530,0.042307,9,3,residue_quotient_p7_c5_r11_q17,shifted_residue_p5_s5
T2,E3,item-5c9c8f466994cfc18857,item-82147e40ca870183d5a8,4525,4329,0.043315,7,1,residue_complement_p5_q1,shifted_residue_p5_s5
T2,E3,item-12048ba644aa528ec2eb,item-78a65e32f07c8e50e4fb,6680,6383,0.044461,8,2,residue_complement_p5_q3,residue_quotient_p7_c5_r11_q17
T2,E3,item-1d8867fca05a016c0039,item-c4f8e79fd824ba14cf6a,6685,6375,0.046372,8,2,shifted_residue_p5_s5,residue_complement_p5_q1
T2,E3,item-d36a647f078695d89386,item-5b23d900fb8682ffc56a,6689,6371,0.047541,8,2,residue_quotient_p7_c2_r11_q13,shifted_residue_p5_s5
T2,E3,item-ac30d8c689624c1699d2,item-f8fecfffcf0f5d189840,9956,9460,0.049819,9,3,residue_quotient_p7_c2_r11_q13,residue_quotient_p7_c5_r11_q17
T2,E3,item-68589605ab3ff99d6fdf,item-b750f4c3a8d377545a96,4527,4797,0.056285,7,1,residue_square_p5_c11,shifted_residue_p5_s1
T2,E3,item-dfa1c71e867a88e0dc2b,item-c9e348313fcd9ef5cc55,6713,6299,0.061671,8,2,residue_complement_p5_q3,residue_complement_p5_q3
T2,E3,item-178c8b30273fcac02fe5,item-5ac60c2d8d9ea46017e8,3069,2873,0.063864,6,0,residue_quotient_p7_c2_r11_q17,residue_quotient_p7_c5_r11_q17
T2,E3,item-8b48563870b9f72c69f2,item-b2992f09159f6607d2b9,6727,6296,0.064070,8,2,shifted_residue_p5_s1,residue_quotient_p7_c2_r11_q13
T2,E3,item-cc8b5589d3c146dd98d3,item-7530161b856b77797f3e,6750,6269,0.071259,8,2,residue_quotient_p7_c5_r11_q17,residue_complement_p5_q3
